time,open,high,low,close,volume
2005-01-02T18:00:00.000000000Z,1.62735,1.63845,1.62695,1.62955,328.0
2005-01-02T22:00:00.000000000Z,1.62965,1.631,1.62795,1.6296,3375.0
2005-01-03T02:00:00.000000000Z,1.6294,1.6294,1.6161,1.6278,6930.0
2005-01-03T06:00:00.000000000Z,1.6278,1.6353,1.6263,1.6304,7530.0
2005-01-03T10:00:00.000000000Z,1.6304,1.635,1.6275,1.6301,10669.0
2005-01-03T14:00:00.000000000Z,1.6301,1.6342,1.6283,1.6309,13719.0
2005-01-03T18:00:00.000000000Z,1.6309,1.6313,1.6248,1.6262,6771.0
2005-01-03T22:00:00.000000000Z,1.6262,1.6288,1.6258,1.6276,2182.0
2005-01-04T02:00:00.000000000Z,1.6275,1.6294,1.6247,1.6285,2588.0
2005-01-04T06:00:00.000000000Z,1.6285,1.6289,1.6211,1.6222,11597.0
2005-01-04T10:00:00.000000000Z,1.6222,1.6273,1.6216,1.6225,16154.0
2005-01-04T14:00:00.000000000Z,1.6225,1.6303,1.6208,1.6243,19079.0
2005-01-04T18:00:00.000000000Z,1.6243,1.6288,1.6218,1.6259,11476.0
2005-01-04T22:00:00.000000000Z,1.6258,1.6265,1.6209,1.6227,3356.0
2005-01-05T02:00:00.000000000Z,1.6226,1.6251,1.6203,1.6219,2996.0
2005-01-05T06:00:00.000000000Z,1.622,1.6271,1.6209,1.6254,12165.0
2005-01-05T10:00:00.000000000Z,1.6254,1.6328,1.62245,1.62705,17051.0
2005-01-05T14:00:00.000000000Z,1.62695,1.62945,1.624,1.6274,16610.0
2005-01-05T18:00:00.000000000Z,1.6274,1.6278,1.6239,1.6252,7974.0
2005-01-05T22:00:00.000000000Z,1.6252,1.6283,1.62315,1.62425,2655.0
2005-01-06T02:00:00.000000000Z,1.62425,1.62575,1.62335,1.62545,2103.0
2005-01-06T06:00:00.000000000Z,1.62545,1.62585,1.6201,1.6216,12257.0
2005-01-06T10:00:00.000000000Z,1.6216,1.6256,1.6198,1.6251,13911.0
2005-01-06T14:00:00.000000000Z,1.6251,1.6325,1.623,1.6315,18726.0
2005-01-06T18:00:00.000000000Z,1.6315,1.6315,1.6259,1.6273,8891.0
2005-01-06T22:00:00.000000000Z,1.6272,1.6315,1.6261,1.6294,3162.0
2005-01-07T02:00:00.000000000Z,1.6294,1.6315,1.62915,1.63005,2337.0
2005-01-07T06:00:00.000000000Z,1.62985,1.6307,1.62615,1.63,10040.0
2005-01-07T10:00:00.000000000Z,1.63,1.633,1.61725,1.6219,14786.0
2005-01-07T14:00:00.000000000Z,1.6219,1.6228,1.60725,1.60985,18211.0
2005-01-07T18:00:00.000000000Z,1.60975,1.61095,1.60625,1.60775,8843.0
